geo_id,city,state,ibge_municipio_id,population_estimate,ev_fleet_bev_count,ev_fleet_phev_count,chargepoints_count,frota_total,cobertura_por_1000_evs,frota_norm,populacao_norm,cobertura_norm,expansion_score,expansion_score_0_100
G3556503,Várzea Paulista,SP,3556503,119655,48,29,124,77,1610.3896103896104,0.0020507084265473526,0.009973345999073086,0.3895592568045002,-0.07310222959065188,13.136385107121335
G3556602,Vera Cruz,SP,3556602,10274,2,4,124,6,761.8113971285813,0.00015979546180888463,0.0007847763139689931,0.18424087793944513,-0.03647034687757787,16.964353064924474
G3556701,Vinhedo,SP,3556701,79089,206,195,124,401,309.2269326683292,0.010679663364227123,0.006565592204118454,0.07473546395363498,-0.008048990563388765,19.934335310723494
G3556800,Viradouro,SP,3556800,17685,5,1,124,6,761.8113971285813,0.00015979546180888463,0.0014073386413961187,0.18424087793944513,-0.03622132194660702,16.990375736593226
G3556909,Vista Alegre do Alto,SP,3556909,8368,1,1,124,2,761.8113971285813,5.3265153936294876e-05,0.0006246624567194854,0.18424087793944513,-0.036577004543626716,16.953207524541334
G3556958,Vitória Brasil,SP,3556958,1828,0,0,124,0,761.8113971285813,0.0,7.526863383817361e-05,0.18424087793944513,-0.03681806813435376,16.92801679906528
G3557006,Votorantim,SP,3557006,133510,192,125,124,317,391.16719242902207,0.008442526898902738,0.011137237652898863,0.09456138104051619,-0.011080370387382597,19.617561397543273
G3557105,Votuporanga,SP,3557105,100568,58,43,124,101,1227.7227722772277,0.0026898902737828912,0.008369939286942261,0.29697081460926955,-0.054970231097563854,15.031147377085244
G3557154,Zacarias,SP,3557154,2773,0,0,124,0,761.8113971285813,0.0,0.00015465352108937232,0.18424087793944513,-0.03678631417945328,16.931335032060417
G3557204,Chavantes,SP,3557204,12415,2,1,124,3,761.8113971285813,7.989773090444231e-05,0.0009646313865666824,0.18424087793944513,-0.03643036394090057,16.968531212186477
G3557303,Estiva Gerbi,SP,3557303,11609,2,1,124,3,761.8113971285813,7.989773090444231e-05,0.000896923218181004,0.18424087793944513,-0.03645744720825485,16.965701057907026
G3300100,Angra dos Reis,RJ,3300100,179142,149,94,46,243,189.30041152263374,0.006471716203259827,0.014970561647657275,0.04571855246596556,-0.0005667993528262714,20.716211263770465
G3300159,Aperibé,RJ,3300159,11426,3,3,46,6,761.8113971285813,0.00015979546180888463,0.0008815502717609305,0.18424087793944513,-0.0364316372944611,16.968398148956645
G3300209,Araruama,RJ,3300209,137906,203,81,46,284,161.9718309859155,0.007563651858953873,0.011506524387667402,0.039106245238657474,-0.0001931785490829844,20.75525398718985
G3300225,Areal,RJ,3300225,12239,7,3,46,10,761.8113971285813,0.00026632576968147435,0.0009498464763484699,0.18424087793944513,-0.036361706689477045,16.975705775409956
G3300233,Armação dos Búzios,RJ,3300233,42527,62,55,46,117,393.16239316239313,0.0031160115052732505,0.0034941951166281597,0.09504413133233885,-0.016364743617707206,19.065353596453768
G3300258,Arraial do Cabo,RJ,3300258,32822,26,20,46,46,1000.0,0.001225098540534782,0.0026789249253341032,0.24187198022494383,-0.04681278665864121,15.883586116702919
G3300308,Barra do Piraí,RJ,3300308,98506,28,32,46,60,766.6666666666667,0.0015979546180888463,0.008196720622908429,0.18541563832680136,-0.03316525756896137,17.309729142647782
G3300407,Barra Mansa,RJ,3300407,181679,122,87,46,209,220.0956937799043,0.005566208586342814,0.015183682768245943,0.05316964811153528,-0.0023339730804715526,20.531544686344365
G3300456,Belford Roxo,RJ,3300456,518384,139,44,46,183,251.36612021857923,0.004873761585170981,0.04346864410360559,0.060735707624346186,0.007189820750641392,21.52676455827336
G3300506,Bom Jardim,RJ,3300506,29758,4,11,46,15,761.8113971285813,0.0003994886545222116,0.0024215330792624916,0.18424087793944513,-0.03571976689437514,17.0427873662126
G3300605,Bom Jesus do Itabapoana,RJ,3300605,37176,6,3,46,9,761.8113971285813,0.00023969319271332693,0.003044683442891478,0.18424087793944513,-0.035534424933647106,17.062155278379727
G3300704,Cabo Frio,RJ,3300704,238438,237,153,46,390,117.94871794871794,0.010386705017577502,0.019951732308447837,0.0284545998627349,0.006444454957863155,21.448875130805323
G3300803,Cachoeiras de Macacu,RJ,3300803,59861,31,7,46,38,1210.5263157894738,0.0010120379247896027,0.00495034076277872,0.2928100330653731,-0.0561770551380473,14.90503636625182
G3300902,Cambuci,RJ,3300902,15069,1,0,46,1,761.8113971285813,2.6632576968147438e-05,0.001187581112243594,0.18424087793944513,-0.036362490112204326,16.9756239090991
G3300936,Carapebus,RJ,3300936,14329,7,1,46,8,761.8113971285813,0.0002130606157451795,0.0011254172851897454,0.18424087793944513,-0.03631278442751506,16.9808180665985
G3300951,Comendador Levy Gasparian,RJ,3300951,9048,7,2,46,9,761.8113971285813,0.00023969319271332693,0.0006817859734716708,0.18424087793944513,-0.036479583921415024,16.963387809927607
G3301009,Campos dos Goytacazes,RJ,3301009,519259,172,116,46,288,159.7222222222222,0.007670182166826462,0.043542148628838186,0.03856193946079979,0.0127725444261059,22.11014946137363
G3301108,Cantagalo,RJ,3301108,19995,6,5,46,11,761.8113971285813,0.00029295834664962183,0.0016013905880101602,0.18424087793944513,-0.03609043601402511,17.004053088641307
G3301157,Cardoso Moreira,RJ,3301157,13407,2,2,46,4,761.8113971285813,0.00010653030787258975,0.0010479645168875176,0.18424087793944513,-0.03638637765798498,16.973127702159502
G3301207,Carmo,RJ,3301207,17741,6,4,46,10,761.8113971285813,0.00026632576968147435,0.0014120429310110047,0.18424087793944513,-0.03617682810761203,16.995025265292764
G3301306,Casimiro de Abreu,RJ,3301306,48636,10,6,46,16,761.8113971285813,0.000426121231490359,0.00400738271050919,0.18424087793944513,-0.03507477401108921,17.110187999414244
G3301405,Conceição de Macabu,RJ,3301405,21770,1,0,46,1,761.8113971285813,2.6632576968147438e-05,0.0017504997677677027,0.18424087793944513,-0.03613732264999468,16.999153516824414
G3301504,Cordeiro,RJ,3301504,21448,7,2,46,9,761.8113971285813,0.00023969319271332693,0.001723450102482109,0.18424087793944513,-0.036062918269810854,17.00692864499609
G3301603,Duas Barras,RJ,3301603,11355,2,2,46,4,761.8113971285813,0.00010653030787258975,0.0008755859045706289,0.18424087793944513,-0.036455329102911736,16.965922396227203
G3301702,Duque de Caxias,RJ,3301702,866225,397,166,46,563,81.70515097690942,0.014994140833067007,0.07268908703095397,0.019685260397440705,0.03113623906612025,24.029123575247596
G3301801,Engenheiro Paulo de Frontin,RJ,3301801,12644,2,0,46,2,761.8113971285813,5.3265153936294876e-05,0.0009838685708846977,0.18424087793944513,-0.03643332209796063,16.968222089924627
G3301850,Guapimirim,RJ,3301850,54311,30,6,46,36,1277.7777777777776,0.0009587727708533077,0.004484112059874854,0.3090819110560658,-0.059639228278921895,14.543245301581685
G3301876,Iguaba Grande,RJ,3301876,29616,30,14,46,44,1045.4545454545455,0.0011718333865984873,0.002409604344881888,0.2528699689064002,-0.04914141868868789,15.640248124322
G3301900,Itaboraí,RJ,3301900,240127,78,37,46,115,400.0,0.0030627463513369555,0.020093617043439663,0.09669852962972032,-0.010077160568033419,19.722395076813914
G3302007,Itaguaí,RJ,3302007,124021,66,43,46,109,422.0183486238532,0.0029029508895280706,0.010340112578690793,0.10202599570660927,-0.015107973754034311,19.196683858841716
G3302056,Italva,RJ,3302056,14518,3,0,46,3,761.8113971285813,7.989773090444231e-05,0.001141294262639985,0.18424087793944513,-0.036359698790471254,16.975915597359784
G3302106,Itaocara,RJ,3302106,23645,2,2,46,4,761.8113971285813,0.00010653030787258975,0.0019080094646946842,0.18424087793944513,-0.036042359678862115,17.009076981952337
G3302205,Itaperuna,RJ,3302205,107297,85,34,46,119,386.5546218487395,0.003169276659209545,0.008935210087273812,0.09344534306176012,-0.013847273913758684,19.328424796941526
G3302254,Itatiaia,RJ,3302254,32713,14,12,46,26,761.8113971285813,0.0006924470011718334,0.0026697683616194144,0.18424087793944513,-0.03550328944277253,17.065408882961066
